iter	RMSE
0	9636.087027
1	9390.333123
2	9159.277919
3	8940.531442
4	8717.118552
5	8505.01615
6	8298.070735
7	8095.48187
8	7902.450306
9	7713.032411
10	7528.383397
11	7347.493283
12	7172.602747
13	7011.943329
14	6846.136413
15	6690.236485
16	6540.585167
17	6394.024694
18	6253.681637
19	6112.901718
20	5980.68649
21	5848.651002
22	5727.072224
23	5605.070132
24	5484.785917
25	5370.329006
26	5260.722948
27	5154.017849
28	5048.555881
29	4947.805128
30	4848.678655
31	4758.534942
32	4669.71793
33	4582.460529
34	4500.151117
35	4416.809346
36	4334.189147
37	4256.988389
38	4184.330756
39	4114.138959
40	4043.164491
41	3978.942224
42	3912.600717
43	3848.866462
44	3788.333491
45	3729.243488
46	3671.919797
47	3616.713953
48	3564.299042
49	3513.72034
50	3466.641265
51	3419.299889
52	3374.175949
53	3329.533993
54	3287.268302
55	3246.649823
56	3205.221918
57	3165.507442
58	3128.125546
59	3091.737082
60	3058.122567
61	3026.482765
62	2996.633871
63	2964.434568
64	2933.855169
65	2903.553453
66	2876.368115
67	2852.550242
68	2828.858793
69	2804.506888
70	2780.176791
71	2757.752905
72	2734.512353
73	2712.290152
74	2692.57284
75	2672.289716
76	2652.431778
77	2633.280545
78	2614.884493
79	2595.304129
80	2578.83723
81	2559.480354
82	2545.376811
83	2527.923549
84	2512.607873
85	2497.157263
86	2483.993786
87	2467.965776
88	2454.503242
89	2440.865339
90	2429.251506
91	2416.33229
92	2404.112745
93	2392.207805
94	2381.121877
95	2369.799745
96	2359.705856
97	2349.24737
98	2338.873238
99	2327.802178
100	2319.092281
101	2309.287776
102	2300.956012
103	2289.344879
104	2281.416227
105	2273.056858
106	2263.665708
107	2255.459855
108	2246.799696
109	2237.80576
110	2230.415537
111	2221.71556
112	2214.102675
113	2205.41857
114	2198.155253
115	2190.004013
116	2181.722035
117	2176.702517
118	2170.502518
119	2163.519594
120	2157.888319
121	2152.59036
122	2146.20616
123	2138.872811
124	2132.966669
125	2126.520582
126	2122.193914
127	2117.75208
128	2112.212541
129	2107.087967
130	2101.953378
131	2096.365424
132	2090.931631
133	2086.790248
134	2082.137993
135	2077.950023
136	2073.707328
137	2069.011609
138	2064.385289
139	2058.57126
140	2054.816881
141	2050.519975
142	2046.855623
143	2043.348882
144	2038.257697
145	2034.487565
146	2030.727357
147	2026.644964
148	2022.525204
149	2018.657461
150	2014.703612
151	2010.008897
152	2006.012606
153	2003.2233
154	1998.324191
155	1994.688102
156	1990.385257
157	1986.146048
158	1983.002949
159	1979.329457
160	1975.631356
161	1972.379554
162	1969.578777
163	1966.835585
164	1962.75028
165	1959.271997
166	1956.160279
167	1953.386202
168	1949.863107
169	1946.625345
170	1944.417882
171	1942.159903
172	1938.429184
173	1935.69006
174	1932.620671
175	1929.132384
176	1926.48114
177	1924.081375
178	1922.011421
179	1919.447275
180	1917.40973
181	1914.091145
182	1910.627438
183	1908.806249
184	1907.179979
185	1905.774034
186	1904.251244
187	1902.017913
188	1898.490198
189	1896.634162
190	1894.045059
191	1892.272244
192	1889.741281
193	1887.954233
194	1885.078932
195	1881.830591
196	1880.607268
197	1877.599668
198	1875.549664
199	1872.98987
200	1869.586003
201	1866.487483
202	1863.74796
203	1861.698211
204	1859.727377
205	1857.192005
206	1855.536447
207	1853.77135
208	1851.160924
209	1849.046848
210	1846.597187
211	1844.687501
212	1843.144557
213	1839.93938
214	1837.587584
215	1835.567817
216	1833.175304
217	1830.511132
218	1827.837334
219	1824.962151
220	1822.840624
221	1820.708855
222	1819.166158
223	1817.58673
224	1816.205578
225	1814.045689
226	1812.594307
227	1811.079538
228	1808.315239
229	1806.944023
230	1803.852039
231	1803.026847
232	1801.046697
233	1798.612073
234	1796.600067
235	1795.049622
236	1793.529098
237	1792.050615
238	1790.036739
239	1787.644731
240	1786.319906
241	1785.268898
242	1783.963253
243	1782.167613
244	1779.721772
245	1777.553277
246	1775.61723
247	1774.484477
248	1772.390358
249	1770.690957
250	1769.229749
251	1767.290047
252	1764.89766
253	1763.3327
254	1762.237991
255	1760.6115
256	1757.658451
257	1755.756992
258	1754.764872
259	1752.868674
260	1751.491079
261	1750.276691
262	1748.707969
263	1747.784245
264	1746.885498
265	1745.966875
266	1744.279211
267	1741.752748
268	1740.268777
269	1738.91644
270	1737.637678
271	1735.563685
272	1733.726632
273	1731.750805
274	1730.677903
275	1729.029849
276	1727.257951
277	1726.342944
278	1724.058279
279	1723.282413
280	1721.608024
281	1719.949311
282	1719.147576
283	1717.942711
284	1716.950109
285	1716.306101
286	1715.022189
287	1713.918383
288	1712.940975
289	1711.961292
290	1709.884458
291	1708.713755
292	1707.065433
293	1704.949806
294	1703.912811
295	1703.003891
296	1701.180498
297	1700.200729
298	1698.306413
299	1697.6668
300	1696.313062
301	1694.0635
302	1692.563951
303	1691.008825
304	1689.576204
305	1688.602711
306	1687.546529
307	1686.5331
308	1685.074515
309	1683.95698
310	1682.344974
311	1681.665153
312	1680.90881
313	1679.404015
314	1678.333574
315	1677.282804
316	1676.131227
317	1675.023771
318	1673.906491
319	1672.87843
320	1670.911444
321	1669.637005
322	1668.70307
323	1667.456758
324	1666.063265
325	1665.439599
326	1664.176943
327	1662.821637
328	1661.259261
329	1659.96727
330	1658.765554
331	1658.091621
332	1656.709242
333	1655.776547
334	1654.762313
335	1653.860815
336	1652.808321
337	1651.785462
338	1650.749142
339	1649.756608
340	1649.176277
341	1647.628468
342	1646.428752
343	1645.473532
344	1643.996324
345	1642.96322
346	1641.704959
347	1640.613357
348	1639.745815
349	1638.199452
350	1637.561514
351	1636.301331
352	1635.242124
353	1633.888584
354	1632.799956
355	1631.810452
356	1630.955564
357	1630.271588
358	1629.125145
359	1627.929754
360	1626.841049
361	1625.50346
362	1624.538925
363	1623.607734
364	1622.55882
365	1621.536312
366	1620.316122
367	1619.787982
368	1618.659343
369	1617.098753
370	1616.387902
371	1615.538415
372	1614.768153
373	1614.354658
374	1613.667849
375	1612.910392
376	1611.966995
377	1610.581618
378	1609.478452
379	1608.451541
380	1607.33757
381	1606.180038
382	1604.986227
383	1604.029794
384	1603.131107
385	1601.752447
386	1600.799064
387	1599.827512
388	1599.241633
389	1598.361386
390	1597.76011
391	1596.992822
392	1595.661505
393	1594.672373
394	1594.238877
395	1593.234626
396	1592.39135
397	1591.305088
398	1590.606683
399	1589.327228
400	1588.264042
401	1586.806189
402	1585.895459
403	1584.624799
404	1584.133917
405	1583.618023
406	1582.19815
407	1581.59048
408	1580.383989
409	1578.817417
410	1577.510495
411	1576.426017
412	1575.159532
413	1573.935757
414	1572.604946
