iter	Passed	Remaining
0	129	90224
1	266	92888
2	409	95222
3	496	86400
4	600	83498
5	714	82678
6	827	81952
7	945	81752
8	1096	84173
9	1214	83814
10	1292	80949
11	1413	81036
12	1576	83294
13	1699	83291
14	1793	81887
15	1871	80012
16	1984	79744
17	2076	78668
18	2170	77789
19	2257	76745
20	2337	75573
21	2494	76882
22	2601	76581
23	2744	77306
24	2830	76412
25	2983	77336
26	3106	77430
27	3194	76665
28	3307	76518
29	3477	77674
30	3628	78301
31	3755	78387
32	3859	78004
33	3981	77988
34	4142	78703
35	4261	78609
36	4391	78688
37	4511	78595
38	4621	78332
39	4732	78093
40	4847	77918
41	4980	78029
42	5093	77827
43	5237	78091
44	5369	78162
45	5478	77889
46	5601	77824
47	5756	78188
48	5885	78189
49	6021	78280
50	6144	78197
51	6215	77456
52	6326	77234
53	6473	77436
54	6621	77653
55	6770	77862
56	6874	77547
57	6975	77209
58	7032	76401
59	7155	76328
60	7300	76476
61	7416	76314
62	7564	76481
63	7668	76208
64	7815	76346
65	7900	75893
66	8051	76064
67	8142	75677
68	8284	75762
69	8482	76338
70	8609	76276
71	8744	76271
72	8903	76470
73	9008	76209
74	9169	76409
75	9327	76580
76	9465	76583
77	9574	76352
78	9705	76290
79	9851	76349
80	9993	76372
81	10094	76077
82	10176	75650
83	10296	75504
84	10394	75205
85	10500	74970
86	10595	74658
87	10701	74421
88	10852	74507
89	11020	74695
90	11128	74472
91	11213	74104
92	11335	73988
93	11428	73680
94	11520	73366
95	11643	73254
96	11804	73384
97	11880	72977
98	11981	72737
99	12070	72421
100	12170	72181
101	12255	71852
102	12346	71560
103	12444	71316
104	12570	71233
105	12723	71300
106	12809	70992
107	12896	70689
108	12987	70418
109	13083	70173
110	13186	69974
111	13363	70160
112	13491	70082
113	13586	69838
114	13682	69603
115	13757	69262
116	13881	69171
117	14013	69118
118	14165	69161
119	14281	69028
120	14346	68648
121	14450	68459
122	14559	68299
123	14667	68133
124	14823	68189
125	14952	68117
126	15082	68049
127	15170	67793
128	15268	67582
129	15376	67421
130	15505	67349
131	15604	67146
132	15731	67067
133	15856	66975
134	15971	66845
135	16096	66755
136	16171	66457
137	16279	66296
138	16393	66165
139	16522	66089
140	16659	66046
141	16733	65757
142	16840	65593
143	16947	65437
144	17024	65163
145	17136	65024
146	17263	64943
147	17366	64772
148	17471	64610
149	17599	64529
150	17696	64340
151	17817	64237
152	17930	64103
153	18049	63995
154	18191	63964
155	18304	63831
156	18457	63837
157	18559	63667
158	18659	63490
159	18766	63336
160	18884	63223
161	18988	63059
162	19119	62989
163	19258	62943
164	19364	62786
165	19490	62697
166	19589	62521
167	19692	62359
168	19838	62333
169	19955	62214
170	20042	62001
171	20157	61879
172	20290	61808
173	20399	61666
174	20567	61701
175	20647	61474
176	20813	61501
177	20974	61510
178	21137	61524
179	21285	61490
180	21372	61284
181	21516	61240
182	21646	61154
183	21759	61021
184	21896	60955
185	21981	60743
186	22156	60782
187	22243	60577
188	22375	60496
189	22523	60458
190	22650	60361
191	22764	60230
192	22881	60107
193	22999	59987
194	23127	59893
195	23259	59810
196	23426	59815
197	23540	59684
198	23683	59625
199	23785	59462
200	23929	59406
201	24087	59383
202	24196	59239
203	24290	59060
204	24407	58936
205	24521	58803
206	24627	58653
207	24702	58430
208	24860	58404
209	24985	58300
210	25117	58209
211	25233	58084
212	25339	57935
213	25452	57804
214	25554	57645
215	25637	57447
216	25730	57271
217	25851	57158
218	25952	57001
219	26039	56812
220	26174	56731
221	26245	56511
222	26356	56377
223	26526	56369
224	26630	56220
225	26795	56200
226	26910	56073
227	27072	56044
228	27190	55923
229	27278	55743
230	27406	55643
231	27547	55569
232	27671	55460
